id,r,g,b
1,70.0,145.0,229.0
2,106.0,35.0,153.0
3,64.0,18.0,71.0
4,33.0,183.0,254.0
5,187.0,171.0,215.0
6,29.0,17.0,26.0
7,204.0,96.0,238.0
8,197.0,113.0,105.0
9,46.0,30.0,39.0
10,3.0,1.0,196.0
11,25.0,4.0,169.0
12,59.0,7.0,206.0
13,61.0,13.0,61.0
14,225.0,145.0,90.0
15,200.0,114.0,226.0
16,86.0,173.0,232.0
17,206.0,177.0,155.0
18,238.0,230.0,244.0
19,177.0,139.0,109.0
20,117.0,93.0,90.0
21,221.0,218.0,234.0
22,188.0,166.0,203.0
23,221.0,214.0,229.0
24,105.0,30.0,110.0
25,27.0,25.0,27.0
26,200.0,79.0,226.0
27,60.0,27.0,212.0
28,24.0,22.0,24.0
29,62.0,150.0,245.0
30,19.0,214.0,251.0
31,40.0,23.0,40.0
32,48.0,49.0,216.0
33,133.0,21.0,187.0
34,232.0,227.0,229.0
35,22.0,18.0,22.0
36,196.0,13.0,222.0
37,173.0,138.0,205.0
38,35.0,30.0,35.0
39,216.0,204.0,210.0
40,187.0,52.0,206.0
41,56.0,6.0,211.0
42,222.0,219.0,247.0
43,39.0,153.0,225.0
44,37.0,33.0,38.0
45,196.0,3.0,250.0
46,204.0,205.5,223.0
47,152.0,133.0,239.0
48,85.0,147.0,233.0
49,28.0,25.0,28.0
50,56.0,26.0,207.0
51,37.0,32.0,37.0
52,41.0,8.0,215.0
53,160.0,77.0,17.0
54,31.0,153.0,239.0
55,6.0,150.0,231.0
56,36.0,26.0,36.0
57,129.0,100.0,91.0
58,46.0,29.0,49.0
59,249.0,103.0,4.0
60,32.0,8.0,208.0
61,140.0,57.0,57.0
62,205.0,190.0,227.0
63,22.0,17.0,22.0
64,68.0,148.0,226.0
65,74.0,39.0,22.0
66,141.0,37.0,17.0
67,55.0,106.0,229.0
68,31.0,21.0,31.0
69,232.0,230.0,232.0
70,74.0,158.0,237.0
71,28.0,25.0,25.0
72,178.0,55.0,40.0
73,54.0,157.0,247.0
74,19.0,1.0,115.0
75,231.0,213.0,220.0
76,86.0,59.0,47.0
77,171.0,81.0,12.0
78,22.0,20.0,20.0
79,231.0,224.0,235.0
80,198.0,21.0,231.0
81,38.0,22.0,27.0
82,25.0,18.0,20.0
83,52.0,24.0,50.0
84,170.0,112.5,184.0
85,7.0,2.0,221.0
86,231.0,234.0,239.0
87,32.0,30.0,32.0
88,223.0,222.0,225.0
89,23.0,22.0,22.0
90,196.0,144.0,223.0
91,194.0,53.0,43.0
92,23.0,20.0,22.0
93,179.0,192.0,250.0
94,26.0,118.0,206.0
95,39.0,21.0,33.0
96,71.0,191.0,238.0
97,23.0,17.0,20.0
98,61.0,144.5,247.0
99,48.0,40.0,218.0
100,23.0,15.0,14.0
101,198.0,122.0,69.0
102,196.0,9.0,253.0
103,49.0,37.0,189.0
104,20.0,14.0,19.0
105,198.0,145.0,239.0
106,200.0,72.0,229.0
107,61.0,1.0,3.0
108,41.0,36.0,37.0
109,42.0,159.0,218.0
110,240.0,235.0,236.0
111,75.0,168.0,249.0
112,27.0,24.0,27.0
113,225.0,212.0,219.0
114,123.0,81.0,43.0
115,111.0,73.0,44.0
116,198.0,1.0,253.0
117,128.0,27.0,201.0
118,58.0,30.0,144.0
119,63.0,27.0,41.0
120,231.0,224.0,230.0
121,246.0,246.0,246.0
122,74.0,41.0,40.0
123,205.0,198.0,224.0
124,32.0,28.0,30.0
125,225.0,192.0,169.0
126,70.0,206.0,253.0
127,205.0,203.0,211.0
128,62.0,50.0,123.0
129,49.0,173.0,253.0
130,167.0,36.0,217.0
131,64.0,33.0,43.0
132,17.0,15.0,17.0
133,246.0,246.0,248.0
134,33.0,24.0,34.0
135,37.0,32.0,38.0
136,85.0,16.0,93.0
137,217.0,216.0,224.0
138,115.0,44.0,73.0
139,201.0,191.0,207.0
140,20.0,12.0,13.0
141,231.0,158.0,4.0
142,206.0,206.0,210.0
143,232.0,229.0,231.0
144,68.0,187.0,244.0
145,114.0,216.0,234.0
146,121.0,151.0,238.0
147,190.0,26.0,223.0
148,250.0,250.0,251.0
149,184.0,104.0,7.0
150,22.0,13.0,17.0
151,74.0,31.0,87.0
152,33.0,27.0,33.0
153,38.0,33.0,35.0
154,98.0,56.0,4.0
155,71.0,38.0,30.0
156,48.0,24.0,49.0
157,51.0,181.0,240.0
158,42.0,30.0,169.0
159,149.0,33.0,9.0
160,37.0,31.0,34.0
161,16.0,12.0,16.0
162,37.0,109.0,167.0
163,64.0,118.0,170.0
164,212.0,215.0,235.0
165,177.0,177.0,244.0
166,113.0,216.0,234.0
167,187.0,87.0,209.0
168,217.0,185.0,170.0
169,195.0,142.0,203.0
170,110.0,137.0,251.0
171,29.0,22.0,176.0
172,38.0,34.0,36.0
173,26.0,22.0,23.0
174,64.0,55.0,245.0
175,32.0,26.0,28.0
176,33.0,17.0,24.0
177,233.0,230.0,237.0
178,68.0,38.0,69.0
179,90.0,22.0,160.0
180,48.0,43.0,48.0
181,125.0,75.0,58.0
182,6.0,167.0,235.0
183,173.0,145.0,138.0
184,32.0,24.0,32.0
185,152.0,60.0,40.0
186,237.0,226.0,235.0
187,183.0,104.0,98.0
188,229.0,224.0,218.0
189,89.0,71.0,50.0
190,198.0,2.0,252.0
191,29.0,28.0,29.0
192,147.0,48.0,31.0
193,217.0,221.0,231.0
194,8.0,162.0,229.0
195,198.0,79.0,95.0
196,79.0,37.0,218.0
197,72.0,59.0,175.0
198,28.0,20.0,30.0
199,36.0,18.0,192.0
200,155.0,111.0,97.0
201,56.0,45.0,58.0
202,192.0,66.0,205.0
203,32.0,27.0,29.0
204,204.0,168.0,173.0
205,112.0,64.0,17.0
206,115.0,41.0,18.0
207,21.0,18.0,21.0
208,198.0,175.0,253.0
209,202.0,115.0,3.0
210,38.0,201.0,251.0
211,240.0,239.0,242.0
212,203.0,190.0,206.0
213,151.0,65.0,115.0
214,26.0,153.0,230.0
215,93.0,152.0,197.0
216,41.0,26.0,52.0
217,41.0,2.0,191.0
218,39.0,22.0,179.0
219,200.0,116.0,228.0
220,186.0,182.0,210.0
221,19.0,8.0,13.0
222,201.0,152.0,142.0
223,205.0,156.0,125.0
224,143.0,123.0,165.0
225,104.0,54.0,197.0
226,85.0,36.0,115.0
227,130.0,97.0,88.0
228,60.0,22.0,206.0
229,74.0,44.0,49.0
230,51.0,35.0,233.0
231,28.0,23.0,28.0
232,60.0,123.0,215.0
233,229.0,222.0,249.0
234,242.0,241.0,246.0
235,23.0,21.0,23.0
236,130.0,179.0,253.0
237,23.0,20.0,23.0
238,24.0,17.0,15.0
239,95.0,193.0,242.0
240,24.0,20.0,22.0
241,19.5,118.0,235.0
242,76.0,194.0,252.0
243,239.0,203.0,164.0
244,179.0,219.0,237.0
245,212.0,109.0,75.0
246,231.0,215.0,201.0
247,45.0,10.0,230.0
248,54.0,17.0,194.0
249,25.0,24.0,25.0
250,83.0,36.0,58.0
251,132.0,91.0,102.0
252,233.0,232.0,236.0
253,56.0,131.0,218.0
254,0,0,0
255,118.0,241.0,254.0
256,198.0,1.0,253.0
257,180.0,170.0,189.0
258,78.0,20.0,226.0
259,109.0,80.0,251.0
260,41.0,24.0,36.0
261,152.0,46.0,13.0
262,36.0,18.0,198.0
263,31.0,1.0,203.0
264,27.0,22.0,28.0
265,165.0,111.0,88.0
266,104.0,188.0,244.0
267,48.0,15.0,36.0
268,31.0,11.0,202.0
269,37.0,21.0,47.0
270,209.0,198.0,226.0
271,33.0,30.0,33.0
272,204.0,206.0,221.0
273,42.0,29.0,199.0
274,59.0,31.0,202.0
275,53.0,24.0,76.0
276,23.0,11.0,25.0
277,195.0,135.0,114.0
278,60.0,216.0,254.0
279,52.0,109.0,169.0
280,28.0,24.0,28.0
281,92.0,55.0,47.0
282,228.0,227.0,230.0
283,37.0,33.0,35.0
284,4.0,2.0,198.0
285,29.0,22.0,24.0
286,199.0,1.0,253.0
287,18.0,2.0,165.0
288,124.0,133.0,233.0
289,198.0,90.0,238.0
290,199.0,84.0,239.0
291,163.0,22.0,172.0
292,198.0,6.0,248.0
293,4.0,1.0,198.0
294,238.0,237.0,241.0
295,32.0,31.0,32.0
296,238.0,238.0,241.0
297,234.0,224.0,201.0
298,39.0,100.0,210.0
299,39.0,31.0,32.0
300,138.0,25.0,248.0
301,171.0,209.0,227.0
302,44.0,29.0,34.0
303,92.0,60.0,49.0
304,112.0,50.0,5.0
305,19.0,13.0,19.0
306,198.0,2.0,252.0
307,8.0,2.0,180.0
308,157.0,69.0,28.0
309,233.0,237.0,244.0
310,245.0,242.0,242.0
311,68.0,28.0,33.0
312,29.0,26.0,30.0
313,234.0,226.0,236.0
314,188.0,181.0,181.0
315,214.0,208.0,222.0
316,33.0,24.0,29.0
317,16.0,11.0,16.0
318,63.0,37.0,81.0
319,139.0,55.0,90.0
320,232.0,202.0,183.0
321,38.0,30.0,38.0
322,238.0,236.0,241.0
323,68.0,200.0,245.0
324,40.0,175.0,252.0
325,26.0,24.0,26.0
326,254.0,225.0,210.0
327,136.0,39.0,47.0
328,195.0,37.0,232.0
329,30.0,24.0,30.0
330,218.0,217.0,223.0
331,7.0,56.0,204.0
332,37.0,33.0,36.0
333,1.0,183.0,238.0
334,33.0,1.0,199.0
335,25.0,17.0,21.0
336,119.0,87.0,78.0
337,48.0,165.0,243.0
338,30.0,26.0,28.0
339,70.0,226.0,241.0
340,38.0,28.0,179.0
341,144.0,51.0,62.0
342,204.0,126.0,12.0
343,114.0,33.0,146.0
344,14.0,85.0,167.0
345,45.0,43.0,45.0
346,185.0,84.0,6.0
347,30.0,19.0,26.0
348,157.0,69.0,28.0
349,155.0,65.0,47.0
350,27.0,25.0,27.0
351,145.0,68.0,21.0
352,28.0,24.0,28.0
353,95.0,35.0,226.0
354,20.0,8.0,84.0
355,28.0,22.0,28.0
356,118.0,32.0,187.0
357,226.0,223.0,243.0
358,15.0,165.0,243.0
359,30.0,22.0,27.0
360,37.0,33.0,37.0
361,144.0,99.0,110.5
362,41.0,31.0,41.0
363,26.0,14.0,19.0
364,186.0,181.0,199.0
365,80.0,22.0,118.0
366,31.0,14.0,26.0
367,36.0,17.0,27.0
368,191.0,141.0,112.0
369,232.0,168.0,91.0
370,54.0,156.0,223.0
371,36.0,42.0,178.0
372,79.0,18.0,165.0
373,56.0,21.0,191.0
374,65.0,34.0,190.0
375,49.0,51.0,177.0
376,4.0,148.0,221.0
377,58.0,58.0,66.0
378,169.0,75.0,51.0
379,3.0,180.0,242.0
380,39.0,31.0,199.0
381,21.0,150.0,217.0
382,80.0,181.0,239.0
383,20.0,8.0,84.0
384,34.0,25.0,207.0
385,29.0,26.0,29.0
386,53.0,195.0,200.0
387,77.0,151.0,234.0
388,142.0,117.0,95.0
389,78.0,40.0,84.0
390,157.0,114.0,90.0
391,18.0,13.0,20.0
392,22.0,18.0,21.0
393,45.0,26.0,218.0
394,218.0,215.0,229.0
395,66.0,34.0,45.0
396,52.0,36.0,179.0
397,24.0,18.0,20.0
398,28.0,21.0,25.0
399,242.0,228.0,236.0
400,104.0,52.0,33.0
401,38.0,33.0,37.0
402,37.0,20.0,27.0
403,75.0,24.0,153.0
404,5.0,2.0,114.0
405,232.0,225.0,231.0
406,147.0,101.0,121.0
407,49.0,201.0,221.0
408,32.0,28.0,189.0
409,36.0,27.0,170.0
410,40.0,31.0,37.0
411,28.0,28.0,31.0
412,129.0,89.0,79.0
413,59.0,31.0,72.0
414,37.0,30.0,33.0
415,147.0,98.0,60.0
416,56.0,41.0,200.0
417,198.0,40.0,248.0
418,30.0,24.0,31.0
419,37.0,33.0,37.0
420,230.0,241.0,244.0
421,200.0,1.0,253.0
422,105.0,21.0,184.0
423,32.0,26.0,30.0
424,23.0,22.0,23.0
425,173.0,220.0,237.0
426,227.0,232.0,233.0
427,29.0,12.0,101.0
428,246.0,240.0,245.0
429,108.0,45.0,20.0
430,32.0,22.0,24.0
431,247.0,247.0,248.0
432,30.0,18.0,24.0
433,179.0,94.0,100.0
434,207.0,208.0,214.0
435,28.0,27.0,28.0
436,163.0,138.0,113.0
437,202.0,137.0,227.0
438,79.0,35.0,39.0
439,198.0,185.0,191.0
440,24.0,19.0,24.0
441,151.0,40.0,232.0
442,174.0,66.0,5.0
443,22.0,15.0,13.0
444,202.0,188.0,241.0
445,244.0,243.0,245.0
446,40.0,28.0,161.0
447,27.0,25.0,27.0
448,53.0,27.0,213.0
449,22.0,15.0,14.0
450,173.0,79.0,194.0
451,3.0,165.0,223.0
452,10.0,8.0,10.0
453,11.0,158.0,248.0
454,31.0,109.0,173.0
455,44.0,160.0,222.0
456,198.0,2.0,253.0
457,37.0,1.0,166.0
458,52.0,37.0,48.0
459,20.0,16.0,18.0
460,200.0,190.0,241.0
461,79.0,53.0,78.0
462,166.0,66.0,85.0
463,226.0,224.0,230.0
464,15.0,13.0,16.0
465,22.0,17.0,20.0
466,38.0,26.0,34.0
467,22.0,19.0,24.0
468,85.0,42.0,39.0
469,193.0,134.0,133.0
470,27.0,25.0,27.0
471,202.0,166.0,236.0
472,38.0,169.0,252.0
473,244.0,241.0,243.0
474,47.0,46.0,55.0
475,43.0,25.0,45.0
476,62.0,171.0,229.0
477,32.0,25.0,33.0
478,23.0,8.0,29.0
479,36.0,1.0,202.0
480,204.0,193.0,211.0
481,7.0,6.0,189.0
482,35.0,26.0,28.0
483,38.0,33.0,36.0
484,168.0,124.0,148.0
485,198.0,1.0,252.0
486,198.0,153.0,103.0
487,106.0,73.0,54.0
488,201.0,75.0,223.0
489,164.0,71.0,140.0
490,14.0,9.0,15.0
491,195.0,62.0,34.0
492,29.0,28.0,29.0
493,224.0,229.0,239.0
494,122.0,153.0,236.0
495,241.0,234.0,238.0
496,196.0,149.0,206.0
497,38.0,26.0,206.0
498,88.0,34.0,131.0
499,56.0,39.0,181.0
500,201.0,162.0,212.0
501,16.0,13.0,17.0
502,194.0,140.0,106.0
503,29.0,22.0,176.0
504,95.0,184.0,249.0
505,177.0,112.0,23.0
506,91.0,39.0,64.0
507,224.0,232.0,236.0
508,124.0,57.0,60.0
509,26.0,13.0,21.0
510,85.0,32.0,57.0
511,168.0,90.0,130.0
512,53.0,167.0,226.0
513,22.0,0.0,156.0
514,72.0,129.0,209.0
515,139.0,108.0,79.0
516,174.0,133.0,114.0
517,14.0,11.0,12.0
518,27.0,21.0,24.0
519,198.0,1.0,253.0
520,50.0,188.0,245.0
521,217.0,157.0,160.0
522,30.0,184.0,241.0
523,32.0,18.0,98.0
524,33.0,134.0,231.0
525,196.0,67.0,219.0
526,230.0,217.0,228.0
527,31.0,26.0,31.0
528,195.0,115.0,197.0
529,223.0,223.0,233.0
530,22.0,16.0,13.0
531,156.0,39.0,2.0
532,93.0,207.0,233.0
533,114.0,50.0,51.0
534,4.0,166.0,229.0
535,84.0,126.0,230.0
536,208.0,211.0,220.0
537,30.0,24.0,31.0
538,44.0,25.0,48.0
539,59.0,38.0,211.0
540,196.0,174.0,181.0
541,115.0,146.0,245.0
542,33.0,34.0,171.0
543,211.0,202.0,207.0
544,172.0,82.0,14.0
545,39.0,37.0,39.0
546,139.0,43.0,14.0
547,34.0,5.0,221.0
548,192.0,98.0,202.0
549,163.0,46.0,40.0
550,70.0,38.0,121.0
551,60.0,33.0,30.0
552,237.0,173.0,113.0
553,115.0,94.0,71.0
554,48.0,32.0,41.0
555,43.0,19.0,52.0
556,101.0,56.0,210.0
557,240.0,236.0,236.0
558,94.0,60.0,34.0
559,38.0,19.0,104.0
560,198.0,173.0,128.0
561,213.0,215.0,217.0
562,32.0,20.0,28.0
563,203.0,209.0,213.0
564,224.0,225.0,227.0
565,49.0,23.0,29.0
566,197.0,153.0,173.0
567,53.0,23.0,42.0
568,245.0,245.0,246.0
569,38.0,33.0,35.0
570,55.0,50.0,55.0
571,199.0,67.0,213.0
572,207.0,199.0,239.0
573,175.0,127.0,81.0
574,52.0,21.0,57.0
575,23.0,16.0,23.0
576,146.0,112.0,89.0
577,28.0,152.0,219.0
578,161.0,162.0,253.0
579,224.0,227.0,238.0
580,28.0,14.0,21.0
581,32.0,26.0,33.0
582,195.0,23.0,231.5
583,169.0,182.0,231.0
584,131.0,63.0,44.0
585,22.0,8.0,31.0
586,102.0,233.0,253.0
587,37.0,25.0,175.0
588,57.0,18.0,177.0
589,186.0,151.0,172.0
590,142.0,62.0,156.0
591,33.0,138.0,232.0
592,81.0,34.0,208.0
593,114.0,33.0,83.0
594,1.0,1.0,139.0
595,3.0,134.0,192.0
596,112.0,38.0,23.0
597,27.0,25.0,27.0
598,129.0,73.0,75.0
599,153.0,65.0,37.0
600,180.0,134.0,119.0
601,50.0,165.0,244.0
602,28.0,25.0,28.0
603,50.0,21.0,122.0
604,64.0,29.0,59.0
605,203.0,173.0,226.0
606,149.0,59.0,56.0
607,61.0,27.0,152.0
608,55.0,38.0,236.0
609,28.0,25.0,28.0
610,227.0,207.0,223.0
611,222.0,215.0,238.0
612,18.0,2.0,165.0
613,150.0,112.0,79.0
614,50.0,201.0,222.0
615,241.0,233.0,246.0
616,226.0,225.0,231.0
617,14.0,11.0,12.0
618,198.0,176.0,205.0
619,204.0,173.0,175.0
620,23.0,12.0,25.0
621,56.0,35.0,53.0
622,196.0,186.0,198.0
623,175.0,138.0,118.0
624,29.0,25.0,29.0
625,168.0,215.0,218.0
626,160.0,20.0,162.0
627,238.0,237.0,240.0
628,198.0,172.0,203.0
629,238.0,234.0,236.0
630,155.0,198.0,228.0
631,70.0,188.0,248.0
632,30.0,4.0,179.0
633,63.0,43.0,108.0
634,61.0,42.0,168.0
635,24.0,21.0,26.0
636,56.0,43.0,225.0
637,27.0,24.0,26.0
638,28.0,21.0,25.0
639,32.0,26.0,30.0
640,33.0,3.0,227.0
641,38.0,33.0,36.0
642,2.0,183.0,244.0
643,235.0,230.0,235.0
644,156.0,164.0,223.0
645,73.0,12.0,127.0
646,65.0,63.0,225.0
647,36.0,2.0,222.0
648,242.0,218.0,165.0
649,21.0,25.0,25.0
650,203.0,191.0,231.0
651,39.0,207.0,238.0
652,209.0,235.0,246.0
653,62.0,31.0,216.0
654,202.0,160.0,226.0
655,41.0,26.0,27.0
656,105.0,41.0,199.0
657,30.0,23.0,30.0
658,202.0,165.0,208.0
659,5.0,3.0,173.0
660,38.0,27.0,33.0
661,44.0,30.0,36.0
662,108.0,39.0,209.0
663,80.0,50.0,159.0
664,177.0,50.0,36.0
665,28.0,170.0,250.0
666,120.0,83.0,65.0
667,198.0,3.0,252.0
668,238.0,237.0,241.0
669,95.0,34.0,120.0
670,28.0,25.0,25.0
671,159.0,123.0,108.0
672,238.0,230.0,234.0
673,8.0,5.0,6.0
674,204.0,202.0,216.0
675,114.0,216.0,234.0
676,94.0,33.0,110.0
677,191.0,79.0,102.0
678,28.0,23.0,29.0
679,25.0,21.0,24.0
680,240.0,236.0,236.0
681,55.0,18.0,58.0
682,44.0,31.0,39.0
683,31.0,23.0,30.0
684,197.0,185.0,251.0
685,58.0,43.0,52.0
686,76.0,44.0,66.0
687,68.0,43.0,46.0
688,171.0,94.0,67.0
689,48.0,39.0,39.0
690,233.0,210.0,191.0
691,17.0,15.0,17.0
692,26.0,22.0,26.0
693,8.0,131.0,204.0
694,154.0,46.0,233.0
695,6.0,1.0,167.0
696,191.0,183.0,200.0
697,30.0,24.0,30.0
698,41.0,24.0,41.0
699,98.0,143.0,223.0
700,60.0,50.0,145.0
701,22.0,17.0,20.0
702,178.0,24.0,244.0
703,55.0,59.0,185.0
704,107.0,236.0,255.0
705,120.0,72.0,55.0
706,188.0,181.0,181.0
707,179.0,86.0,75.0
708,65.0,44.0,77.0
709,37.0,25.0,117.0
710,55.0,173.0,230.0
711,204.0,189.0,224.0
712,15.0,2.0,233.0
713,195.0,17.0,237.0
714,32.0,25.0,30.0
715,17.0,18.0,19.0
716,18.0,12.0,11.0
717,47.0,35.0,208.0
718,233.0,231.0,241.0
719,63.0,7.0,235.0
720,42.0,11.0,205.0
721,21.0,10.0,84.0
722,189.0,177.0,170.0
723,118.0,98.0,66.0
724,36.0,2.0,219.0
725,46.0,36.0,45.0
726,57.0,40.0,227.0
727,158.0,107.0,66.0
728,82.0,189.0,244.0
729,35.0,24.0,31.0
730,111.0,39.0,166.0
731,20.0,18.0,20.0
732,74.0,26.0,215.0
733,94.0,38.0,213.0
734,78.0,148.0,250.0
735,163.0,106.0,18.0
736,155.0,65.0,46.0
737,174.0,137.0,127.0
738,156.0,69.0,28.0
739,35.0,164.0,236.0
740,238.0,241.0,247.0
741,159.0,102.0,167.0
742,142.0,83.0,3.0
743,43.0,37.0,45.0
744,209.0,204.0,220.0
745,188.0,66.0,207.0
746,197.0,143.0,107.0
747,174.0,35.0,252.0
748,221.0,204.0,200.0
749,78.0,55.0,112.0
750,38.0,23.0,36.0
751,42.0,228.0,251.0
752,22.0,17.0,20.0
753,74.0,43.0,123.0
754,32.0,147.0,233.0
755,24.0,151.0,238.0
756,126.0,97.0,71.0
757,35.0,14.0,203.0
758,58.0,22.0,59.0
759,27.0,20.0,27.0
760,189.0,81.0,61.0
761,85.0,42.0,55.0
762,155.0,67.0,28.0
763,84.0,206.0,254.0
764,188.0,181.0,181.0
765,34.0,23.0,35.0
766,11.0,216.0,251.0
767,17.0,11.0,50.0
768,29.0,19.0,23.0
769,141.0,106.0,74.0
770,223.0,220.0,227.0
771,198.0,3.0,251.0
772,44.0,39.0,161.0
773,13.0,159.0,239.0
774,15.0,154.0,243.0
775,33.0,30.0,33.0
776,238.0,236.0,243.0
777,20.0,17.0,20.0
